course,assignment,due_date,type,estimated_hours,status,notes
CSCE 350,HW4 - Sorting Algorithms,2026-04-02,homework,3,not started,Should have started earlier
ENGL 101,Annotated Bibliography,2026-04-05,essay,2,in progress,Need 3 more sources
MATH 251,Quiz 3,2026-04-03,exam,1.5,complete,Submitted on time
HIST 201,Chapter 6-7 Reading Notes,2026-04-04,reading,2,not started,Behind on readings
PHYS 207,Lab Report 4,2026-04-06,lab,3.5,in progress,Data analysis section incomplete
CSCE 350,Code Review Assignment,2026-04-01,homework,1,complete,Finished early
CSCE 350,HW5 - Dynamic Programming,2026-04-09,homework,3,not started,Focus on memoization techniques
ENGL 101,Persuasive Essay Draft,2026-04-10,essay,2.5,in progress,Need to add counterarguments
MATH 251,Quiz 4 Preparation,2026-04-08,exam,1.5,not started,Covers sections 6.1-6.3
CSCE 350,Lab 7 - Binary Search Trees,2026-04-11,lab,2,not started,Implement insert and delete operations
HIST 201,Discussion Post Response,2026-04-10,homework,1,complete,Posted yesterday
